ランディング ページ,セッション,新規セッション率,新規ユーザー,直帰率,ページ/セッション,平均セッション時間,コンバージョン率,目標の完了数,目標値
/andresortlife/2020/04/17/暮らしを豊かに彩る屋外スペース。「アウトドア/,471,89.17%,420,85.35%,1.34,42.99,0.00%,0,0.00
/andresortlife/2020/08/18/自宅の屋上は練習スペースにも？屋上のある家で/,461,94.58%,436,93.06%,1.08,15.26,0.00%,0,0.00
/andresortlife/2020/10/27/人気のパーコレーターで楽しむ「お家カフェ」の/,457,94.53%,432,94.97%,1.06,17.93,0.00%,0,0.00
/andresortlife/2020/10/13/「メスティンで楽しむおうちキャンプレシピ」/,456,90.57%,413,93.64%,1.13,20.62,0.00%,0,0.00
/lp/houses/152_0013_2_01/,454,80.40%,365,91.63%,1.21,22.13,0.00%,0,0.00
/andresortlife/2020/09/14/家具のレイアウトがポイントに。心地よい「ld/,445,96.18%,428,92.13%,1.14,19.02,0.00%,0,0.00
/andresortlife/2021/02/19/屋上付き住宅は雷対策も必要？/,444,95.05%,422,94.37%,1.08,12.55,0.00%,0,0.00
/andresortlife/2020/08/10/コットンテントとは？おうちグランピングが可愛/,426,92.72%,395,92.96%,1.14,15.11,0.00%,0,0.00
/andresortlife/2020/08/24/夢のプール付き住宅！子どものころからの夢を実/,426,95.07%,405,91.08%,1.15,18.74,0.00%,0,0.00
/lp/houses/252_0134_1_01/index.html,425,8.47%,36,56.00%,2.21,100.83,0.47%,2,0.00
/andresortlife/2020/11/05/グランピング風のおしゃれなスペースに。お家キ/,421,92.64%,390,87.65%,1.29,27.27,0.00%,0,0.00
"/andresortlife/2020/04/25/屋上でバーベキュー！前菜からデザートまで、人/",414,92.27%,382,93.72%,1.16,12.82,0.00%,0,0.00
/lp/houses/169_0074_1_01/index.html,407,8.85%,36,42.01%,2.64,155.47,0.74%,3,0.00
/andresortlife/,396,49.49%,196,61.87%,3.07,155.69,0.51%,2,0.00
/lp/houses/164_0003_2_02/,392,62.76%,246,81.89%,1.52,40.14,0.00%,0,0.00
/lp/houses/166_0013_3_01/index.html,389,10.80%,42,43.96%,3.11,201.34,0.77%,3,0.00
/andresortlife/2020/11/16/自宅アウトドアを冬も楽しむ。寒さ対策に外でこ/,388,90.98%,353,89.69%,1.18,28.46,0.00%,0,0.00
/lp/houses/133_0065_4_02/index.html,387,9.30%,36,46.25%,2.94,190.35,0.78%,3,0.00
/andresortlife/2020/10/24/屋上テラスで大人な燻製ライフ。おすすめ燻製レ/,386,93.78%,362,92.75%,1.13,14.32,0.00%,0,0.00
/andresortlife/2020/04/24/屋上でハンモックを楽しむコツとは/,380,91.32%,347,89.74%,1.27,41.23,0.00%,0,0.00
/lp/houses/333_0816_86_02/index.html,377,5.84%,22,57.29%,2.22,95.75,1.06%,4,0.00
/lp/houses/332_0027_2_10/index.html,374,17.11%,64,60.16%,2.18,85.53,1.07%,4,0.00
/lp/houses/175_0045_2_02/index.html,373,13.67%,51,58.18%,2.20,136.92,0.54%,2,0.00
/search/id11867/,373,55.76%,208,68.36%,2.10,137.78,0.54%,2,0.00
/andresortlife/2020/07/23/安心安全！お家の庭や屋上をお子さんの遊び場に/,372,90.05%,335,86.83%,1.26,37.96,0.00%,0,0.00
/andresortlife/2021/03/13/シェラカップがおしゃれで実用的！キャンプ気分/,372,92.47%,344,95.16%,1.07,20.64,0.00%,0,0.00
/andresortlife/2020/07/29/リモートワークをもっと快適に。自分に合う「デ/,364,96.98%,353,95.88%,1.05,9.46,0.00%,0,0.00
/andresortlife/2020/05/26/アウトドアリビングでダッチオーブンをおしゃれ/,362,91.44%,331,94.48%,1.12,26.49,0.00%,0,0.00
/andresortlife/2020/10/17/猫と気ままな屋上ライフ。でも安全性は大丈夫？/,359,90.53%,325,93.31%,1.15,31.35,0.00%,0,0.00
/andresortlife/2020/06/22/リモートワークがはかどる！「ワークスペース」/,351,88.32%,310,90.88%,1.17,26.54,0.00%,0,0.00
/lp/concept/kawaguchi_area.html,351,78.35%,275,55.27%,2.00,67.13,0.00%,0,0.00
/andresortlife/2020/04/27/バーベキューでお野菜克服のチャンス？子どもが/,350,94.86%,332,93.14%,1.09,27.95,0.00%,0,0.00
/andresortlife/2020/05/27/リゾートホテルのような洗練された洗面所をつく/,349,85.96%,300,92.55%,1.26,18.24,0.00%,0,0.00
/search/?pull=new,347,10.95%,38,40.35%,3.30,113.66,0.29%,1,0.00
/lp/houses/145_0064_1_01/index.html,346,10.98%,38,56.65%,2.47,155.25,0.87%,3,0.00
/andresortlife/2020/08/11/屋上での太陽光発電で災害に強い我が家へ/,340,92.06%,313,89.41%,1.16,34.39,0.00%,0,0.00
/andresortlife/2020/11/25/パティオヒーター・パラソルヒーターで自宅の屋/,338,91.42%,309,87.87%,1.27,47.68,0.00%,0,0.00
/lp/houses/277_0061_1_01/index.html,337,11.28%,38,54.90%,2.51,147.79,1.19%,4,0.00
/andresortlife/2020/08/13/屋上テラスが映画館や野外フェス会場になる！お/,326,91.10%,297,86.20%,1.18,37.31,0.00%,0,0.00
/interview/,326,42.64%,139,51.23%,3.77,158.96,0.31%,1,0.00
/search/id14705/,325,75.38%,245,80.92%,1.79,106.41,0.31%,1,0.00
/lp/houses/115_0042_5_02/index.html,323,17.65%,57,58.51%,2.50,146.29,1.24%,4,0.00
/lp/houses/901_0361_1_01/index.html,322,4.04%,13,39.13%,2.85,159.57,0.62%,2,0.00
/andresortlife/2020/10/23/マンションのベランダ（バルコニー）と戸建の屋/,315,88.89%,280,88.57%,1.47,63.95,0.00%,0,0.00
/andresortlife/2020/12/16/屋上テラスで洗濯物を乾かすには/,312,90.71%,283,78.85%,1.31,59.15,0.00%,0,0.00
/andresortlife/2020/05/29/普段使いもできる！自宅でアウトドア気分を楽し/,308,95.78%,295,94.48%,1.10,10.46,0.00%,0,0.00
/concept/,308,55.84%,172,52.92%,3.33,154.67,0.00%,0,0.00
/search/id12636/,307,57.00%,175,61.56%,2.89,142.26,0.33%,1,0.00
/andresortlife/2021/01/26/日本の冬は囲炉裏を囲んで団らんを。屋上やウッ/,306,93.46%,286,93.14%,1.13,22.49,0.00%,0,0.00
/search/id7630/,304,31.25%,95,56.25%,2.79,136.94,0.66%,2,0.00
/lp/houses/177_0044_2_02/index.html,301,13.62%,41,47.18%,2.99,147.67,1.33%,4,0.00
/andresortlife/2020/12/04/屋上リビングの掃除に役立つおすすめグッズ5選/,297,81.82%,243,81.14%,1.27,59.37,0.00%,0,0.00
/andresortlife/2021/05/02/平屋に屋上はあり？コンパクトに住みたいけれど/,297,94.28%,280,91.92%,1.26,37.21,0.00%,0,0.00
/lp/concept/cn/,296,67.57%,200,74.66%,1.88,40.45,0.34%,1,0.00
/andresortlife/2020/08/03/南国リゾートのリラックス感を。夏に楽しみたい/,294,97.28%,286,90.48%,1.27,30.16,0.00%,0,0.00
/andresortlife/2021/02/07/狭いお家でもワークスペースが欲しい！個室がな/,293,93.52%,274,90.44%,1.23,25.34,0.00%,0,0.00
